Unnamed: 0,Organization,openalex_id,country,type,homepage_url,works_count,cited_by_count
448,Albert Eimstein College of Medicine,https://openalex.org/I129975664,US,education,https://einsteinmed.edu,90297.0,4085286.0
449,Københavns Universitet,https://openalex.org/I124055696,DK,education,https://www.ku.dk,215736.0,7941276.0
450,Duke-NUS Medical School,https://openalex.org/I4210126319,SG,education,https://www.duke-nus.edu.sg/,17227.0,497917.0
453,Technical Institute of Physics and Chemistry,https://openalex.org/I4210140689,CN,facility,http://english.ipc.cas.cn/,12437.0,407895.0
454,Durham University,https://openalex.org/I190082696,GB,education,https://www.dur.ac.uk/,91249.0,2869376.0
456,Carnegie Mellon University,https://openalex.org/I74973139,US,education,http://www.cmu.edu/index.shtml,137213.0,6992906.0
457,University of Kerman,https://openalex.org/I115566878,IR,education,http://www.uk.ac.ir/Default8.aspx?Id=5187,14399.0,206077.0
459,Systems Biology Institute,https://openalex.org/I4210118579,JP,nonprofit,http://www.sbi.jp/,1358.0,55677.0
460,Roskilde University,https://openalex.org/I107707843,DK,education,https://ruc.dk,15417.0,267507.0
461,University of Illinois,https://openalex.org/I157725225,US,education,https://illinois.edu,302411.0,12223029.0
463,Indiana University Indianapolis,https://openalex.org/I55769427,US,education,http://www.iupui.edu/,123838.0,4179573.0
464,East China Normal University,https://openalex.org/I66867065,CN,education,https://www.ecnu.edu.cn,65915.0,1217118.0
466,University of Manchester,https://openalex.org/I28407311,GB,education,http://www.manchester.ac.uk/,263757.0,8920365.0
467,Forschungszentrum Jülich,https://openalex.org/I171892758,DE,facility,https://www.fz-juelich.de,64072.0,2086559.0
468,Universidad de Barcelona,https://openalex.org/I4210143574,ES,healthcare,http://fundaciojosepfinestres.cat/es/hob,74.0,1698.0
469,Moscow Power Engineering Institute,https://openalex.org/I171241948,RU,education,https://mpei.ru,15516.0,67596.0
470,Western Norway University of Applied Sciences,https://openalex.org/I179863766,NO,education,https://www.hvl.no/,6712.0,87276.0
471,Nanjing Medical University,https://openalex.org/I83519826,CN,education,https://www.njmu.edu.cn,82120.0,1260042.0
472,UCL,https://openalex.org/I2800173700,AU,education,http://www.ucl.ac.uk/australia/,13947.0,582958.0
475,National Science Foundation,https://openalex.org/I1311060795,US,government,https://www.nsf.gov,13052.0,669517.0
476,National Research Council,https://openalex.org/I4210155236,IT,nonprofit,https://www.cnr.it,67384.0,1753590.0
478,University of Delhi,https://openalex.org/I110166357,IN,education,http://www.du.ac.in,65841.0,1002313.0
480,Indian Institute of Technology Madras,https://openalex.org/I24676775,IN,facility,https://www.iitm.ac.in/,57216.0,961373.0
481,Korea research institute of technology,https://openalex.org/I4210151417,KR,facility,https://www.krict.re.kr,11032.0,365668.0
482,Cold  Spring Harbor Laboratory,https://openalex.org/I2750212522,US,nonprofit,https://www.cshl.edu,11148.0,1403628.0
483,University of Florence,https://openalex.org/I45084792,IT,education,https://www.unifi.it,117659.0,3109940.0
486,University of Tennessee,https://openalex.org/I75027704,US,education,https://www.utk.edu,130066.0,3934359.0
487,University in Gdańsk,https://openalex.org/I4210102184,PL,education,https://www.merito.pl/gdansk/,1051.0,2648.0
489,University of Milan,https://openalex.org/I189158943,IT,education,https://www.unimi.it,186090.0,5514599.0
491,"Associate Professor (Epidemiology), University of Missouri (https://orcid.org/0000-0002-2657-3398)",https://openalex.org/I76835614,US,education,http://missouri.edu/,120179.0,3694761.0
493,Tennessee State University,https://openalex.org/I119443389,US,education,http://www.etsu.edu/etsuhome/,16491.0,300226.0
494,Universiteit Gent,https://openalex.org/I32597200,BE,education,https://www.ugent.be,143600.0,4661851.0
495,Medical College of Wisconsin,https://openalex.org/I204308271,US,education,https://www.mcw.edu,69587.0,2368462.0
499,Cornell University,https://openalex.org/I205783295,US,education,https://www.cornell.edu,403231.0,17881198.0
500,"Cambridge University, EMBL-EBI",https://openalex.org/I241749,GB,education,https://www.cam.ac.uk,371526.0,16925362.0
501,"Ph.D., Griffith University",https://openalex.org/I11701301,AU,education,https://www.griffith.edu.au,78486.0,2228667.0
502,"Professor of Physics, Stockholm University",https://openalex.org/I161593684,SE,education,https://www.su.se,97231.0,3925852.0
503,ETH Zürich,https://openalex.org/I4391767848,,nonprofit,https://ethz-foundation.ch,0.0,0.0
504,Universidade de Lisboa Instituto Superior Técnico,https://openalex.org/I4387152517,,education,https://tecnico.ulisboa.pt,0.0,0.0
505,Stockholm University,https://openalex.org/I161593684,SE,education,https://www.su.se,97231.0,3925852.0
506,Associate Professor in Hunan University (湖南大学),https://openalex.org/I16609230,CN,education,https://www.hnu.edu.cn,77898.0,1738379.0
507,UNC Chapel Hill,https://openalex.org/I114027177,US,education,https://www.unc.edu,255170.0,11796975.0
508,Argonne National Laboratory,https://openalex.org/I1282105669,US,facility,https://www.anl.gov,100535.0,3712971.0
509,"University of Oslo, Norway",https://openalex.org/I184942183,NO,education,http://www.uio.no/english/,151651.0,5069890.0
511,Hungarian Academy of Sciences,https://openalex.org/I7597260,HU,government,http://mta.hu/english/,62972.0,1787720.0
512,Università degli Studi di Genova,https://openalex.org/I83816512,IT,education,https://unige.it,84164.0,2127444.0
513,Instituto Gulbenkian de Ciência,https://openalex.org/I48057805,PT,education,http://www.igc.gulbenkian.pt/,4311.0,197461.0
514,Organization,https://openalex.org/I4210105654,CH,government,http://www.who.int/,20700.0,1465933.0
515,National Institute of Environmental Health Sciences,https://openalex.org/I4210095140,US,facility,http://www.niehs.nih.gov/,21441.0,1290765.0
516,CNRS,https://openalex.org/I4210095849,FR,government,https://www.insis.cnrs.fr,108.0,2612.0
517,Trinity College Dublin,https://openalex.org/I205274468,IE,education,https://www.tcd.ie/,77512.0,2547168.0
520,Oslo Metropolitan University,https://openalex.org/I184531372,NO,education,https://www.oslomet.no,11474.0,186279.0
522,University of Insubria,https://openalex.org/I115752224,IT,education,http://www.uninsubria.eu/,22854.0,616383.0
524,Nanjing University,https://openalex.org/I881766915,CN,education,http://www.nju.edu.cn/english/,153607.0,3539782.0
527,King’s College London,https://openalex.org/I183935753,GB,education,http://www.kcl.ac.uk/index.aspx,203099.0,7066286.0
528,Al-Azhar University,https://openalex.org/I184834183,EG,education,http://www.azhar.edu.eg,36267.0,407750.0
530,Tulane University,https://openalex.org/I114832834,US,education,https://tulane.edu,74534.0,2587348.0
531,Università Roma Tre,https://openalex.org/I119003972,IT,education,https://www.uniroma3.it,29407.0,628171.0
532,Huazhong University of Science and Technology,https://openalex.org/I47720641,CN,education,http://english.hust.edu.cn/,213920.0,4118481.0
535,University of Nebraska,https://openalex.org/I114395901,US,education,http://www.unl.edu/,91477.0,2836235.0
536,University of Groningen,https://openalex.org/I169381384,NL,education,http://www.rug.nl/,148120.0,5718058.0
537,Russian Academy of Sciences,https://openalex.org/I1313323035,RU,government,http://www.ras.ru/,214356.0,2388429.0
539,Radboud University Nijmegen,https://openalex.org/I145872427,NL,education,http://www.ru.nl/english/,167691.0,6667028.0
541,Genentech,https://openalex.org/I183934855,,company,https://www.gene.com,2316.0,349254.0
542,Purdue University,https://openalex.org/I219193219,US,education,http://www.purdue.edu/,174831.0,6171442.0
543,AIRI,https://openalex.org/I4392021246,,nonprofit,https://airi.net,15.0,87.0
544,Hohai University,https://openalex.org/I163340411,CN,education,https://www.hhu.edu.cn,56822.0,660447.0
545,University of Padua,https://openalex.org/I138689650,IT,education,https://www.unipd.it,174784.0,5079413.0
546,Max Planck Institute,https://openalex.org/I4210150093,DE,facility,https://www.biochem.mpg.de,12666.0,928077.0
547,City of Hope National Medical Center,https://openalex.org/I1301076528,US,healthcare,http://www.cityofhope.org/,16913.0,740241.0
548,IBM Research,https://openalex.org/I4210114115,US,facility,http://research.ibm.com/labs/watson/index.shtml,26250.0,1457876.0
549,Università degli Studi di Napoli Federico II,https://openalex.org/I71267560,IT,education,https://www.unina.it,123227.0,3201568.0
551,University of St Andrews,https://openalex.org/I16835326,GB,education,http://www.st-andrews.ac.uk/,64152.0,2080089.0
553,Lehigh Valley Health Network,https://openalex.org/I4210094360,US,healthcare,http://www.lvhn.org/,2788.0,33847.0
554,Institut Curie,https://openalex.org/I80043,FR,nonprofit,http://www.institut-curie.org/,27995.0,1249101.0
555,Universitat de Barcelona,https://openalex.org/I71999127,ES,education,https://web.ub.edu,156350.0,4915265.0
557,Vellore Institute of Technology University,https://openalex.org/I876193797,IN,education,https://vit.ac.in,51804.0,642952.0
558,Oslo University Hospital,https://openalex.org/I1281400175,NO,healthcare,http://www.oslo-universitetssykehus.no/om-oss/english,50020.0,1883436.0
560,Multimedia University,https://openalex.org/I173029219,MY,education,https://www.mmu.edu.my/,12709.0,160275.0
561,SK Group,https://openalex.org/I134353371,KR,company,http://www.sk.co.kr/,2610.0,44904.0
562,Fudan University School of Basic Medical Sciences,https://openalex.org/I24943067,CN,education,https://fudan.edu.cn,189197.0,4041246.0
563,Massachusetts Institute of Technology,https://openalex.org/I63966007,US,education,https://web.mit.edu,313215.0,20043269.0
565,Australia National University,https://openalex.org/I118347636,AU,education,https://www.anu.edu.au,161892.0,5760789.0
566,Toyota Technological Institute,https://openalex.org/I4840577,JP,education,http://www.toyota-ti.ac.jp/english/,6246.0,115819.0
567,Institut Pasteur,https://openalex.org/I157536573,FR,nonprofit,https://www.pasteur.fr,52529.0,2771953.0
569,Reply ,https://openalex.org/I4210128559,IT,company,https://www.reply.com/en/,153.0,1206.0
570,Norwegian University of Science and Technology ,https://openalex.org/I204778367,NO,education,http://www.ntnu.edu,97496.0,2738154.0
571,Chongqing University,https://openalex.org/I158842170,CN,education,https://www.cqu.edu.cn,108254.0,1676417.0
572,"University of Rome ""Tor Vergata""",https://openalex.org/I116067653,IT,education,https://web.uniroma2.it,79038.0,2124423.0
573,University of Dubai,https://openalex.org/I132806614,AE,education,https://ud.ac.ae/,1566.0,14816.0
574,Yale University,https://openalex.org/I32971472,US,education,https://www.yale.edu,341273.0,16330975.0
575,University of Arkansas,https://openalex.org/I78715868,US,education,http://www.uark.edu/,47325.0,1186549.0
576,NCNST JHMI ISB,https://openalex.org/I145311948,US,education,https://www.jhu.edu/,423067.0,20892018.0
577,University of Washington,https://openalex.org/I201448701,US,education,https://www.washington.edu,463836.0,21410723.0
578,Oxford University,https://openalex.org/I40120149,GB,education,https://www.ox.ac.uk,400628.0,18308411.0
579,Friedrich-Schiller-Universität Jena,https://openalex.org/I76198965,DE,education,https://www.uni-jena.de/en,66329.0,1941152.0
580,Karolinska Institut,https://openalex.org/I28166907,SE,education,https://ki.se,194760.0,8810527.0
582,National Polytechnic Institute,https://openalex.org/I68368234,MX,facility,https://www.cinvestav.mx/,36615.0,739395.0
583,Università Cattolica del Sacro Cuore,https://openalex.org/I103320735,IT,education,https://www.unicatt.eu,64134.0,1680577.0
585,University Health Network,https://openalex.org/I1325899441,CA,healthcare,https://www.uhn.ca,54082.0,2092537.0
587,"Tübingen, Germany",https://openalex.org/I8087733,DE,education,https://www.uni-tuebingen.de/en/university.html,125616.0,4014660.0
589,University of Oulu,https://openalex.org/I98381234,FI,education,https://www.oulu.fi,60894.0,1900575.0
591,National Tsing Hua University,https://openalex.org/I25846049,TW,education,http://www.nthu.edu.tw/english/,65229.0,1485111.0
592,University of Bristol,https://openalex.org/I36234482,GB,education,http://bristol.ac.uk/,175180.0,6782960.0
594,Nanjing Forestry University,https://openalex.org/I167027274,CN,education,https://www.njfu.edu.cn/,33667.0,512222.0
597,McMaster University,https://openalex.org/I98251732,CA,education,https://www.mcmaster.ca,157118.0,6139211.0
598,University of Verona,https://openalex.org/I119439378,IT,education,https://www.univr.it,52059.0,1516032.0
599,Fondazione Bruno Kessler.,https://openalex.org/I2277624104,IT,facility,https://www.fbk.eu,8017.0,195820.0
600,Space Telescope Science Institute,https://openalex.org/I1297127228,US,facility,https://www.stsci.edu,16412.0,848781.0
601,Kazan Federal University,https://openalex.org/I21203515,RU,education,https://kpfu.ru,33004.0,321049.0
602,Ozyegin University,https://openalex.org/I44925452,TR,education,https://www.ozyegin.edu.tr/,3986.0,60076.0
603,University of Glasgow,https://openalex.org/I7882870,GB,education,http://www.gla.ac.uk/,162000.0,5339340.0
605,University of Cagliari,https://openalex.org/I172446870,IT,education,http://www.unica.it/,43937.0,1049477.0
606,University of Connecticut Health Center,https://openalex.org/I140172145,US,education,http://uconn.edu/,107200.0,3569507.0
607,Escola Paulista de Medicina-Universidade Federal de São Paulo,https://openalex.org/I88273585,BR,education,http://www.unifesp.br/,76901.0,1406674.0
609,Massachusetts Eye and Ear Infirmary,https://openalex.org/I1287163989,US,healthcare,http://www.masseyeandear.org/,21195.0,783321.0
610,Nanyang technological university,https://openalex.org/I172675005,SG,education,http://www.ntu.edu.sg/Pages/home.aspx,161048.0,5149413.0
611,Sardegna Ricerche,https://openalex.org/I4210098674,IT,company,http://www.sardegnaricerche.it/en/,333.0,8110.0
612,Özyeğin University,https://openalex.org/I44925452,TR,education,https://www.ozyegin.edu.tr/,3986.0,60076.0
613,Roswell Park Comprehensive Cancer Center,https://openalex.org/I1292894508,US,facility,https://www.roswellpark.org/,28981.0,1234852.0
615,University of Missouri,https://openalex.org/I76835614,US,education,http://missouri.edu/,120179.0,3694761.0
616,Newcastle  University,https://openalex.org/I84884186,GB,education,https://www.ncl.ac.uk,123489.0,4142674.0
617,Hunan University,https://openalex.org/I16609230,CN,education,https://www.hnu.edu.cn,77898.0,1738379.0
618,Tsinghua University,https://openalex.org/I99065089,CN,education,https://www.tsinghua.edu.cn,308544.0,7652286.0
619,University of Southern California,https://openalex.org/I1174212,US,education,https://usc.edu,248363.0,10013109.0
620,huawei,https://openalex.org/I2250955327,CN,company,http://www.huawei.com/en/,11210.0,149867.0
621,AstraZeneca,https://openalex.org/I105036370,GB,company,http://www.astrazeneca.co.uk/home,18066.0,794805.0
625,Università di Bologna,https://openalex.org/I9360294,IT,education,https://www.unibo.it,177575.0,4717597.0
626,Adobe,https://openalex.org/I1306409833,US,company,https://www.adobe.com/,4660.0,214358.0
627,IIT-Madras,https://openalex.org/I24676775,IN,facility,https://www.iitm.ac.in/,57216.0,961373.0
628,Penn State,https://openalex.org/I82783531,US,healthcare,http://www.pennstatehershey.org/web/guest/welcome,33577.0,887409.0
629,Bocconi University,https://openalex.org/I71209653,IT,education,https://www.unibocconi.it,17335.0,504011.0
630,University of Łódź ,https://openalex.org/I34250744,PL,education,https://www.uni.lodz.pl,48934.0,474366.0
631,Swinburne University of Technology,https://openalex.org/I57093077,AU,education,http://www.swinburne.edu.au/,38273.0,1047931.0
632,University of Stirling,https://openalex.org/I12093191,GB,education,https://www.stir.ac.uk,30569.0,954583.0
633,Università di Padova,https://openalex.org/I138689650,IT,education,https://www.unipd.it,174784.0,5079413.0
634,University of Ioannina,https://openalex.org/I194019607,GR,education,https://uoi.gr,31539.0,951858.0
635,Institute of Biomedical Tecgnology (CNR-ITB),https://openalex.org/I4210154278,IT,facility,http://www.itb.cnr.it/,2513.0,109507.0
636,Benha University,https://openalex.org/I207547235,EG,education,http://www.bu.edu.eg/en/,24246.0,253253.0
637,Pacific Northwest National Laboratory,https://openalex.org/I142606810,US,facility,http://www.pnnl.gov/,433622.0,1909808.0
638,Ansbach University,https://openalex.org/I4210102060,DE,education,https://www.hs-ansbach.de/en/index.html,608.0,4179.0
640,UC-San Diego,https://openalex.org/I2800935791,US,healthcare,https://health.ucsd.edu/,5518.0,156232.0
641,SciencesPo,https://openalex.org/I4210091150,FR,facility,http://www.sciencespo.fr/centre-etudes-europeennes,6293.0,33701.0
643,Kyoto University,https://openalex.org/I22299242,JP,education,http://www.kyoto-u.ac.jp/en,318348.0,8698015.0
645,Yangtze University,https://openalex.org/I177739611,CN,education,http://www.yangtzeu.edu.cn/,22281.0,183440.0
648,Ghent University,https://openalex.org/I32597200,BE,education,https://www.ugent.be,143600.0,4661851.0
650,Università degli Studi di Brescia,https://openalex.org/I79940851,IT,education,https://www.unibs.it,40386.0,1169811.0
651,Ajou University,https://openalex.org/I57664883,KR,education,https://www.ajou.ac.kr,36702.0,676577.0
652,Broad Institute,https://openalex.org/I107606265,US,nonprofit,http://www.broadinstitute.org/,46852.0,3059103.0
655,Sofia University,https://openalex.org/I58918642,BG,education,https://www.uni-sofia.bg/,22150.0,364513.0
657,Emory University,https://openalex.org/I150468666,US,education,https://www.emory.edu,196250.0,7957982.0
660,National Cheng Kung University,https://openalex.org/I91807558,TW,education,http://web.ncku.edu.tw/bin/home.php,87916.0,1812500.0
661,Ruprecht Karls Universität Heidelberg,https://openalex.org/I223822909,DE,education,https://www.uni-heidelberg.de,255698.0,8881552.0
662,University of Naples Federico II,https://openalex.org/I71267560,IT,education,https://www.unina.it,123227.0,3201568.0
664,Guangdong University of Technology,https://openalex.org/I139024713,CN,education,http://english.gdut.edu.cn/,43259.0,642515.0
666,Astronomical Observatory of VdA,https://openalex.org/I60858718,PT,education,https://www.ua.pt,55725.0,1180440.0
667,Korea Institute of Oriental Medicine,https://openalex.org/I4210087584,KR,facility,https://kiom.re.kr/,4814.0,77173.0
668,Universidad Carlos III de Madrid,https://openalex.org/I50357001,ES,education,https://www.uc3m.es,37783.0,592803.0
669,The University of Texas,https://openalex.org/I86519309,US,education,http://www.utexas.edu/,249189.0,9685500.0
671,The University of Texas MD Anderson Cancer Center,https://openalex.org/I1343551460,US,healthcare,https://www.mdanderson.org,147137.0,6477041.0
672,Samara National Research University,https://openalex.org/I3124489027,RU,education,https://www.ssau.ru,11156.0,65223.0
674,Paderborn University,https://openalex.org/I206945453,DE,education,http://www.uni-paderborn.de/en/,29621.0,503425.0
675,EMBL-EBI,https://openalex.org/I1303153112,GB,facility,http://www.ebi.ac.uk/,9073.0,1086379.0
676,imec,https://openalex.org/I4210114974,BE,nonprofit,https://www.imec-int.com,21320.0,410629.0
677,Cambridge University ,https://openalex.org/I241749,GB,education,https://www.cam.ac.uk,371526.0,16925362.0
678,University of Pennsylvania,https://openalex.org/I79576946,US,education,https://www.upenn.edu,358308.0,17817773.0
679,King's College Hospital,https://openalex.org/I4210153400,GB,healthcare,https://www.kch.nhs.uk/patientsvisitors/getting-to-kings,37377.0,1320065.0
680,Vall d´Hebron Institut d´Oncologia,https://openalex.org/I4387155398,,healthcare,https://www.vhio.net,0.0,0.0
681,Southwest University,https://openalex.org/I142108993,CN,education,https://swu.edu.cn,60154.0,879084.0
684,Florida State University,https://openalex.org/I103163165,US,education,https://www.fsu.edu/,98355.0,3339575.0
685,Russian-ArmenianUniversity,https://openalex.org/I188529364,AM,education,http://www.rau.am,1409.0,7426.0
686,Griffith University,https://openalex.org/I11701301,AU,education,https://www.griffith.edu.au,78486.0,2228667.0
687,State University of Management,https://openalex.org/I111567634,RU,education,https://guu.ru,3771.0,8798.0
688,MBZUAI,https://openalex.org/I4210113480,AE,education,https://mbzuai.ac.ae/,1542.0,24113.0
689,University of Turku,https://openalex.org/I155660961,FI,education,https://www.utu.fi,71532.0,2199365.0
690,NanoTech Institute at UTD,https://openalex.org/I162577319,US,education,http://www.utdallas.edu/,40882.0,1258435.0
692,University of Florida,https://openalex.org/I33213144,US,education,https://www.ufl.edu,312900.0,9634955.0
693,Texas A&M University,https://openalex.org/I91045830,US,education,https://www.tamu.edu/,211252.0,6869859.0
694,"SBP, UAB",https://openalex.org/I32389192,US,education,https://www.uab.edu,133453.0,5070581.0
696,University of Virginia,https://openalex.org/I51556381,US,education,https://virginia.edu,176940.0,6402241.0
697,University of Rhode Island,https://openalex.org/I17626003,US,education,https://www.uri.edu,36545.0,1153971.0
