Institution;openalex_id;country;type;homepage_url;works_count;cited_by_count;corrected_university_name
Università Vita Salute San Raffaele;https://openalex.org/I154387261;IT;education;https://www.unisr.it;31814.0;1021638.0;Vita-Salute San Raffaele University
University of Twente;https://openalex.org/I94624287;NL;education;https://www.utwente.nl;72095.0;2129284.0;University of Twente
Université Grenoble Alpes;https://openalex.org/I899635006;FR;education;https://www.univ-grenoble-alpes.fr;99453.0;2223877.0;Université Grenoble Alpes
Università degli Studi di Padova;https://openalex.org/I138689650;IT;education;https://www.unipd.it;173974.0;5040582.0;University of Padua
University of Luxembourg;https://openalex.org/I186903577;LU;education;http://wwwen.uni.lu/;46905.0;525471.0;University of Luxembourg
Ecole Polytechnique;https://openalex.org/I5124864;CH;education;http://www.epfl.ch;142039.0;5994414.0;École Polytechnique
Barcelona Supercomputing Center;https://openalex.org/I2799803557;ES;facility;https://www.bsc.es/;7134.0;185779.0;Barcelona Supercomputing Center
Università degli Studi di Bergamo;https://openalex.org/I11039511;IT;education;https://www.unibg.it;12886.0;246510.0;University of Bergamo
INAF;;;;;;;INAF
SYSBIO.IT - Centre of Systems Biology;;;;;;;SYSBIO.IT
Azienda Ospedaliero Universitaria Pisana;https://openalex.org/I108290504;IT;education;https://www.unipi.it;112405.0;3053705.0;University of Pisa
Auburn University;https://openalex.org/I82497590;US;education;https://auburn.edu;69502.0;1592803.0;Auburn University
Università degli Studi di Firenze;https://openalex.org/I45084792;IT;education;https://www.unifi.it;117496.0;3100387.0;University of Florence
Università della Svizzera italiana;https://openalex.org/I57201433;CH;education;https://www.usi.ch;12473.0;298874.0;Università della Svizzera italiana
Università degli Studi di Enna Kore;https://openalex.org/I246010334;IT;education;http://www.unikore.it/;3723.0;57815.0;Università degli Studi di Enna Kore
University of Parma;https://openalex.org/I124601658;IT;education;https://www.unipr.it;54805.0;1535707.0;University of Parma
ANSYS Inc;;;;;;;ANSYS
Human Technopole;https://openalex.org/I4210115812;IT;facility;https://humantechnopole.it/it/;933.0;11092.0;Human Technopole
Fondazione Bruno Kessler;https://openalex.org/I2277624104;IT;facility;https://www.fbk.eu;8010.0;195023.0;Fondazione Bruno Kessler
Università degli Studi di Pavia;https://openalex.org/I25217355;IT;education;http://www.unipv.eu/site/en/home.html;79937.0;2249170.0;University of Pavia
National and Kapodistrian University of Athens;https://openalex.org/I200777214;GR;education;https://www.uoa.gr;108552.0;2741790.0;National and Kapodistrian University of Athens
Università Vita-Salute San Raffaele Facoltà di Medicina e Chirurgia;https://openalex.org/I154387261;IT;education;https://www.unisr.it;31814.0;1021638.0;Vita-Salute San Raffaele University
Interuniversity Research Centre for Public Services;;;;;;;Interuniversity Research Centre for Public Services
IRCCS Humanitas Research Hospital;https://openalex.org/I4210163047;IT;healthcare;http://www.humanitas.it/en;9454.0;185508.0;IRCCS Humanitas Research Hospital
Istituto di Bioimmagini e Sistemi Biologici Complessi;https://openalex.org/I27897274;IT;government;http://www.iss.it/chis/?lang=2;27479.0;971971.0;Istituto Superiore di Sanità
Instituto Politécnico Nacional;https://openalex.org/I59361560;MX;education;http://www.ipn.mx/english/Paginas/Inicio.aspx;71070.0;1045290.0;Instituto Politécnico Nacional
Azienda Socio Sanitaria Territoriale di Monza;;;;;;;Azienda Socio Sanitaria Territoriale di Monza
University College London;https://openalex.org/I45129253;GB;education;http://www.ucl.ac.uk/;468556.0;18477812.0;University College London
Humanitas University;https://openalex.org/I1339471597;IT;education;http://www.hunimed.eu/;15491.0;386729.0;Humanitas University
Cell Press;;;;;;;Cell Press
Universita degli Studi di Milano-Bicocca;https://openalex.org/I66752286;IT;education;https://www.unimib.it;55771.0;1503914.0;University of Milano-Bicocca
Studio dentistico Serafin;;;;;;;Studio dentistico Serafin
AmeriSave Mortgage Corporation;;;;;;;AmeriSave Mortgage Corporation
Istituto Giannina Gaslini;https://openalex.org/I2801463291;IT;healthcare;http://www.gaslini.org/;14370.0;414173.0;Istituto Giannina Gaslini
Politecnico di Milano;https://openalex.org/I93860229;IT;education;https://polimi.it;100828.0;1957422.0;Politecnico di Milano
Moldova State University;https://openalex.org/I29920723;MD;education;http://usm.md/?lang=en;5479.0;22176.0;Moldova State University
Jozef Stefan Institute;;;;;;;Jozef Stefan Institute
Università di Pisa;https://openalex.org/I108290504;IT;education;https://www.unipi.it;112405.0;3053705.0;University of Pisa
Taif University;https://openalex.org/I179331831;SA;education;https://www.tu.edu.sa;21280.0;289098.0;Taif University
IRCCS Ospedale San Raffaele;https://openalex.org/I4210133214;IT;healthcare;http://www.hsr.it/;15993.0;479595.0;IRCCS Ospedale San Raffaele
Graz University of Technology;https://openalex.org/I4092182;AT;education;https://www.tugraz.at;39203.0;989071.0;Graz University of Technology
Spinque;;;;;;;Spinque
Universidad de Alcalá;https://openalex.org/I189268942;ES;education;https://uah.es;35444.0;656594.0;Universidad de Alcalá
Istituto Nazionale di Genetica Molecolare;;;;;;;National Institute of Molecular Genetics
Fondazione IRCCS Ospedale Maggiore Policlinico, University of Milan, Milan, Italy;https://openalex.org/I189158943;IT;education;https://www.unimi.it;185836.0;5498353.0;University of Milan
Fraunhofer Portugal Research;https://openalex.org/I4210157425;PT;nonprofit;http://www.fraunhofer.pt/en;447.0;4120.0;Fraunhofer Portugal Research
Finnish Institute of Molecular Medicine (FIMM);https://openalex.org/I133731052;FI;education;https://www.helsinki.fi/;174669.0;6424040.0;University of Helsinki
ASST Centro Specialistico Ortopedico Traumatologico G. Pini - CTO;;;;;;;G. Pini - CTO
University of Washington;https://openalex.org/I201448701;US;education;https://www.washington.edu;463043.0;21350686.0;University of Washington
Fondazione Transform Transport ETS;https://openalex.org/I4403928271;;nonprofit;https://www.source-international.org;0.0;0.0;ETS
AGH University of Science and Technology;;;;;;;AGH University of Science and Technology
Dalhousie University;https://openalex.org/I129902397;CA;education;https://www.dal.ca;92278.0;2995488.0;Dalhousie University
Fondazione IRCCS Istituto Nazionale dei Tumori;https://openalex.org/I4210156707;IT;healthcare;http://www.istitutotumori.mi.it/;22442.0;927265.0;Fondazione IRCCS Istituto Nazionale dei Tumori
Scuola Universitaria Professionale della Svizzeria Italiana Dipartimento tecnologie innovative;https://openalex.org/I15196421;CH;education;http://www.supsi.ch/home_en.html;3914.0;75415.0;University of Applied Sciences and Arts of Southern Switzerland
University of Turin;https://openalex.org/I55143463;IT;education;https://www.unito.it;112781.0;3140856.0;University of Turin
University of Modena and Reggio Emilia;https://openalex.org/I122346577;IT;education;http://www.unimore.it/;51757.0;1563156.0;University of Modena and Reggio Emilia
Universitetet i Oslo;https://openalex.org/I184942183;NO;education;http://www.uio.no/english/;150976.0;5018565.0;University of Oslo
lastminute.com;;;;;;;lastminute.com
IRCCS Istituto Auxologico Italiano;https://openalex.org/I4210134201;IT;healthcare;https://www.auxologico.it/;11621.0;400275.0;IRCCS Istituto Auxologico Italiano
The Wistar Institute;https://openalex.org/I102322052;US;facility;https://www.wistar.org;9625.0;660306.0;The Wistar Institute
Enrico Fermi Center for Study and Research;https://openalex.org/I4210108754;IT;archive;http://www.centrofermi.it/;2632.0;92915.0;Enrico Fermi Center for Study and Research
Sapienza University of Rome;https://openalex.org/I861853513;IT;education;https://www.uniroma1.it;210242.0;5146387.0;Sapienza University of Rome
University of Toronto;https://openalex.org/I185261750;CA;education;https://www.utoronto.ca;483816.0;19067173.0;University of Toronto
University of Florence;https://openalex.org/I45084792;IT;education;https://www.unifi.it;117496.0;3100387.0;University of Florence
Gran Sasso Science Institute;https://openalex.org/I4210150763;IT;education;https://www.gssi.it;3712.0;162083.0;Gran Sasso Science Institute
University of Alcalá;;;;;;;University of Alcalá
Oslo University Hospital;https://openalex.org/I1281400175;NO;healthcare;http://www.oslo-universitetssykehus.no/om-oss/english;49928.0;1877207.0;Oslo University Hospital
Cleveland Clinic;https://openalex.org/I1316902750;US;healthcare;http://my.clevelandclinic.org/;126244.0;4511578.0;Cleveland Clinic
Politecnico di TORINO;;;;;;;Politecnico di Torino
Università Cattolica del Sacro Cuore;https://openalex.org/I103320735;IT;education;https://www.unicatt.eu;64039.0;1674800.0;Università Cattolica del Sacro Cuore
Ludwig-Maximilians-Universität München;https://openalex.org/I8204097;DE;education;https://www.lmu.de;201174.0;6559067.0;Ludwig-Maximilians-Universität München
University of Milan;https://openalex.org/I189158943;IT;education;https://www.unimi.it;185836.0;5498353.0;University of Milan
Technische Universität Wien;;;;;;;TU Wien
Laboratoire d’Informatique et Systèmes;https://openalex.org/I4210114274;FR;facility;https://www.lis-lab.fr;8738.0;46547.0;Laboratoire d’Informatique et Systèmes
Institute of Cancer Research;https://openalex.org/I142947616;GB;education;http://www.icr.ac.uk/;23781.0;1392045.0;Institute of Cancer Research
University of Natural Resources and Life Sciences;;;;;;;University of Natural Resources and Life Sciences
Izmir Institute of Technology;https://openalex.org/I120217413;TR;education;https://iyte.edu.tr;6663.0;114014.0;Izmir Institute of Technology
Huazhong University of Science and Technology;https://openalex.org/I47720641;CN;education;http://english.hust.edu.cn/;212947.0;4064140.0;Huazhong University of Science and Technology
Bocconi University;https://openalex.org/I71209653;IT;education;https://www.unibocconi.it;17275.0;499549.0;Bocconi University
University of Belgrade, Faculty of Mathematics;https://openalex.org/I4068193;RS;education;http://www.bg.ac.rs/en/;89082.0;1409853.0;University of Belgrade
Khalifa University College of Engineering;https://openalex.org/I176601375;AE;education;https://www.ku.ac.ae/;17310.0;275334.0;Khalifa University
Grenoble Ecole de Management;https://openalex.org/I68666633;FR;education;http://en.grenoble-em.com/;2836.0;43269.0;Grenoble Ecole de Management
Tampere University;https://openalex.org/I166825849;FI;education;https://www.tuni.fi/en;69523.0;1884048.0;Tampere University
EPFL - École Polytechnique Fédérale de Lausanne;https://openalex.org/I5124864;CH;education;http://www.epfl.ch;142039.0;5994414.0;École Polytechnique Fédérale de Lausanne
Centre Nacional d'Anàlisi Genòmica;;;;;;;National Center for Genomic Analysis
Ospedale San Raffaele;https://openalex.org/I4210133214;IT;healthcare;http://www.hsr.it/;15993.0;479595.0;Ospedale San Raffaele
Luxembourg Institute of Health;https://openalex.org/I4210101141;LU;nonprofit;http://www.lih.lu/;3132.0;82718.0;Luxembourg Institute of Health
Imperial College London;https://openalex.org/I47508984;GB;education;https://www.imperial.ac.uk;295372.0;12020557.0;Imperial College London
Microsoft Research;https://openalex.org/I4210164937;GB;company;http://research.microsoft.com/en-us/labs/cambridge/default.aspx;14686.0;881823.0;Microsoft Research
Istituto di Ricerche Farmacologiche Mario Negri Centro Aldo e Cele Daccò;https://openalex.org/I19630809;IT;nonprofit;http://www.marionegri.it/en_US/home;18407.0;1189077.0;Mario Negri Institute for Pharmacological Research
University College Hospital London;https://openalex.org/I45129253;GB;education;http://www.ucl.ac.uk/;468556.0;18477812.0;University College London
Universidade NOVA de Lisboa;https://openalex.org/I83558840;PT;education;http://www.unl.pt/en/;50378.0;1067359.0;Universidade NOVA de Lisboa
The Open University;https://openalex.org/I204136569;GB;education;https://www.open.ac.uk;40803.0;1161890.0;The Open University
SDU;https://openalex.org/I177969490;DK;education;https://www.sdu.dk;65230.0;2003176.0;Southern Denmark University
Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico;https://openalex.org/I2803066834;IT;healthcare;http://www.policlinico.mi.it/;35077.0;912836.0;Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico
Open University of Catalonia;;;;;;;Open University of Catalonia
Chitkara University Institute of Engineering and Technology, Chitkara University;https://openalex.org/I74319210;IN;education;http://www.chitkara.edu.in/;11992.0;83965.0;Chitkara University
St Bartholomew's Hospital;https://openalex.org/I1307195382;GB;healthcare;http://bartshealth.nhs.uk/our-hospitals/st-bartholomew%E2%80%99s-hospital/;24389.0;797505.0;St Bartholomew's Hospital
Universitat Politècnica de València;https://openalex.org/I60053951;ES;education;https://www.upv.es;64342.0;1327439.0;Universitat Politècnica de València
University of Yamanashi;https://openalex.org/I66906201;JP;education;http://www.yamanashi.ac.jp/;21777.0;384552.0;University of Yamanashi
Universiteit Leiden Mathematisch Instituut;https://openalex.org/I121797337;NL;education;http://www.leiden.edu/;111036.0;4169683.0;Leiden University
Universita' di Milano Bicocca;https://openalex.org/I66752286;IT;education;https://www.unimib.it;55771.0;1503914.0;University of Milano-Bicocca
University of Milano - Bicocca;https://openalex.org/I66752286;IT;education;https://www.unimib.it;55771.0;1503914.0;University of Milano - Bicocca
Istituto Ortopedico Galeazzi;https://openalex.org/I4210113215;IT;healthcare;http://www.galeazzi-gsd.it/;6150.0;127987.0;Istituto Ortopedico Galeazzi
Thomas Jefferson University;https://openalex.org/I149251103;US;education;https://www.jefferson.edu;57331.0;2069836.0;Thomas Jefferson University
STMicroelectronics;https://openalex.org/I4210104693;FR;company;http://www.st.com/content/st_com/en.html;5653.0;69853.0;STMicroelectronics
University of Illinois Urbana-Champaign;https://openalex.org/I157725225;US;education;https://illinois.edu;301728.0;12148248.0;University of Illinois Urbana-Champaign
University of Roehampton;https://openalex.org/I877107187;GB;education;http://www.roehampton.ac.uk/home/;8900.0;187135.0;University of Roehampton
Rhine-Waal University of Applied Sciences;https://openalex.org/I70865968;DE;education;https://www.hochschule-rhein-waal.de/en;1081.0;12601.0;Rhine-Waal University of Applied Sciences
University of Illinois at Urbana-Champaign;https://openalex.org/I157725225;US;education;https://illinois.edu;301728.0;12148248.0;University of Illinois Urbana-Champaign
"Policlinico ""G. Rodolico-S. Marco"" University Hospital";https://openalex.org/I112862951;IT;education;https://www.unime.it;45591.0;978151.0;University of Messina
University Health Network;https://openalex.org/I1325899441;CA;healthcare;https://www.uhn.ca;53752.0;2069950.0;University Health Network
Radboudumc;https://openalex.org/I145872427;NL;education;http://www.ru.nl/english/;167366.0;6645206.0;Radboud University
The University of Melbourne;;;;;;;The University of Melbourne
Australian National University;https://openalex.org/I118347636;AU;education;https://www.anu.edu.au;161741.0;5740309.0;Australian National University
Istituto Nazionale di Geofisica e Vulcanologia Sezione di Catania;;;;;;;National Institute of Geophysics and Volcanology
IBM Thomas J Watson Research Center;https://openalex.org/I4210114115;US;facility;http://research.ibm.com/labs/watson/index.shtml;26243.0;1456824.0;IBM Thomas J Watson Research Center
University of Virginia;https://openalex.org/I51556381;US;education;https://virginia.edu;176271.0;6342914.0;University of Virginia
TU Wien;https://openalex.org/I145847075;AT;education;https://www.tuwien.at;73278.0;1814198.0;TU Wien
City, University of London;;;;;;;City, University of London
University of Groningen;https://openalex.org/I169381384;NL;education;http://www.rug.nl/;147603.0;5669035.0;University of Groningen
University of Florida;https://openalex.org/I33213144;US;education;https://www.ufl.edu;312505.0;9604244.0;University of Florida
Khalifa University of Science Technology;https://openalex.org/I176601375;AE;education;https://www.ku.ac.ae/;17310.0;275334.0;Khalifa University of Science Technology
 University of South Wales  -;https://openalex.org/I128993996;GB;education;http://www.southwales.ac.uk/;12182.0;242774.0; University of South Wales  -
Université de Technologie de Compiègne;https://openalex.org/I102516824;FR;education;https://www.utc.fr;11336.0;247025.0;Université de Technologie de Compiègne
Université de Technologie de Compiègne;https://openalex.org/I102516824;FR;education;https://www.utc.fr;11336.0;247025.0;Université de Technologie de Compiègne
Eindhoven University of Technology;https://openalex.org/I83019370;NL;education;https://www.tue.nl;82477.0;2319223.0;Eindhoven University of Technology
University of Insubria;https://openalex.org/I115752224;IT;education;http://www.uninsubria.eu/;22815.0;613791.0;University of Insubria
Institute of Information Transmision Problems named after A.A. Kharkevich, RAS;;;;;;;Kharkiv Institute of Information Transmission Problems
Istituto Nazionale di Fisica Nucleare;https://openalex.org/I160013858;IT;government;https://home.infn.it;18334.0;417196.0;Istituto Nazionale di Fisica Nucleare
University of Pavia;https://openalex.org/I25217355;IT;education;http://www.unipv.eu/site/en/home.html;79937.0;2249170.0;University of Pavia
Khalifa University;https://openalex.org/I176601375;AE;education;https://www.ku.ac.ae/;17310.0;275334.0;Khalifa University
UiT Norges arktiske universitet;https://openalex.org/I78037679;NO;education;https://uit.no;38330.0;1137961.0;The Arctic University of Norway
University of Warwick;https://openalex.org/I39555362;GB;education;http://www2.warwick.ac.uk/;117123.0;3473513.0;University of Warwick
Vrije Universiteit Amsterdam;https://openalex.org/I865915315;NL;education;https://vu.nl/;99762.0;3735137.0;Vrije Universiteit Amsterdam
HUMANITAS UNIVERSITY;https://openalex.org/I1339471597;IT;education;http://www.hunimed.eu/;15491.0;386729.0;HUMANITAS UNIVERSITY
Fraunhofer Portugal ;https://openalex.org/I4210157425;PT;nonprofit;http://www.fraunhofer.pt/en;447.0;4120.0;Fraunhofer Portugal 
Universidade Nova de Lisboa;https://openalex.org/I83558840;PT;education;http://www.unl.pt/en/;50378.0;1067359.0;Universidade Nova de Lisboa
Universita della Svizzera Italiana;;;;;;;University of Lugano
Universität Hohenheim;https://openalex.org/I110079840;DE;education;https://www.uni-hohenheim.de/english;27332.0;843223.0;Hohenheim University
"Universita` degli Studi di ROMA ""La Sapienza""";https://openalex.org/I861853513;IT;education;https://www.uniroma1.it;210242.0;5146387.0;Sapienza University of Rome
Libera Università di Bolzano;https://openalex.org/I171543936;IT;education;https://www.unibz.it;11181.0;218783.0;Free University of Bozen-Bolzano
Università degli Studi di Modena e Reggio Emilia;https://openalex.org/I122346577;IT;education;http://www.unimore.it/;51757.0;1563156.0;University of Modena and Reggio Emilia
European Institute of Oncology;https://openalex.org/I6141010;IT;healthcare;https://www.ieo.it/en/;18483.0;839996.0;European Institute of Oncology
European Bioinformatics Institute;https://openalex.org/I1303153112;GB;facility;http://www.ebi.ac.uk/;9049.0;1082850.0;European Bioinformatics Institute
Radboud Universitair Medisch Centrum;https://openalex.org/I2802934949;NL;healthcare;https://www.radboudumc.nl;68106.0;2780578.0;Radboud University Medical Center
Universität Bielefeld;https://openalex.org/I20121455;DE;education;http://www.uni-bielefeld.de/(en)/;51967.0;1224023.0;Bielefeld University
Istituto Auxologico Italiano Istituto Scientifico San Luca;https://openalex.org/I4210134201;IT;healthcare;https://www.auxologico.it/;11621.0;400275.0;Istituto Auxologico Italiano
Dublin Institute of Technology;https://openalex.org/I4387153685;IE;education;http://www.dit.ie/;0.0;0.0;Dublin Institute of Technology
Institut Pasteur;https://openalex.org/I157536573;FR;nonprofit;https://www.pasteur.fr;52494.0;2766971.0;Institut Pasteur
Università degli Studi del Molise;https://openalex.org/I129627893;IT;education;http://www.unimol.it/;10124.0;243172.0;University of Molise
National University of Defense Technology;https://openalex.org/I170215575;CN;education;http://www.nudt.edu.cn/index_eng.htm;71637.0;668817.0;National University of Defense Technology
Università degli Studi eCampus;https://openalex.org/I167322064;IT;education;https://www.uniecampus.it;1880.0;58399.0;Università degli Studi eCampus
Università degli Studi di Roma La Sapienza;https://openalex.org/I861853513;IT;education;https://www.uniroma1.it;210242.0;5146387.0;Sapienza University of Rome
Politecnico di Torino;;;;;;;Politecnico di Torino
Delft University of Technology;https://openalex.org/I98358874;NL;education;https://www.tudelft.nl;142474.0;3886341.0;Delft University of Technology
Fraunhofer AICOS;https://openalex.org/I2800274787;DE;facility;http://www.hhi.fraunhofer.de/;10906.0;255089.0;Fraunhofer Institute
 Faculty of Sciences ;https://openalex.org/I4210153903;SI;education;http://www.fkpv.si/?lang=en;120.0;653.0; Faculty of Sciences 
Institut Jožef Stefan;https://openalex.org/I3006985408;SI;facility;https://ijs.si/ijsw;26502.0;662668.0;Jožef Stefan Institute
Southeast Missouri State University;https://openalex.org/I161165907;US;education;http://www.semo.edu/;3249.0;45812.0;Southeast Missouri State University
University of the Witswatersrand, Johannesburg;https://openalex.org/I192619145;ZA;education;https://www.wits.ac.za;82596.0;1945832.0;University of the Witwatersrand
Università Cattolica del Sacro Cuore ;https://openalex.org/I103320735;IT;education;https://www.unicatt.eu;64039.0;1674800.0;Università Cattolica del Sacro Cuore 
Trinity College Dublin;https://openalex.org/I205274468;IE;education;https://www.tcd.ie/;77414.0;2540677.0;Trinity College Dublin
Università degli Studi di Salerno;https://openalex.org/I131729948;IT;education;https://web.unisa.it;46350.0;1045027.0;University of Salerno
University of Glasgow;https://openalex.org/I7882870;GB;education;http://www.gla.ac.uk/;161734.0;5315934.0;University of Glasgow
Bristol Myers Squibb Co;;;;;;;Bristol Myers Squibb Co
Istituto di Sistemi e Tecnologie Industriali Intelligenti per il Manifatturiero Avanzato Consiglio Nazionale delle Ricerche;https://openalex.org/I4210155236;IT;nonprofit;https://www.cnr.it;67245.0;1744875.0;National Research Council
Akademia Gorniczo-Hutnicza im Stanislawa Staszica w Krakowie;;;;;;;AGH University of Science and Technology
IBFM-CNR;;;;;;;CNR Institute of Biomedical Technologies
Kuwait University;https://openalex.org/I36721946;KW;education;http://www.kuniv.edu/ku;25447.0;482525.0;Kuwait University
Radboud University Nijmegen;https://openalex.org/I145872427;NL;education;http://www.ru.nl/english/;167366.0;6645206.0;Radboud University Nijmegen
Ontotext Corp;;;;;;;Ontotext Corp
Amrita Vishwa Vidyapeetham Amrita School of Engineering Chennai;https://openalex.org/I81556334;IN;education;https://www.amrita.edu/;23134.0;205483.0;Amrita Vishwa Vidyapeetham
University of Trieste;https://openalex.org/I142444530;IT;education;https://units.it;49440.0;1488452.0;University of Trieste
Università della Svizzera Italiana;https://openalex.org/I57201433;CH;education;https://www.usi.ch;12473.0;298874.0;Università della Svizzera Italiana
University of Perugia;https://openalex.org/I27483092;IT;education;https://www.unipg.it;57588.0;1716856.0;University of Perugia
INAF - Osservatorio Astrofisico di Catania;;;;;;;Astrophysical Observatory of Catania
Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie – Hans-Knöll-Institut;https://openalex.org/I4210162077;DE;facility;https://www.leibniz-hki.de;3442.0;139853.0;Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie – Hans-Knöll-Institut
Clausthal University of Technology;https://openalex.org/I43980791;DE;education;https://www.tu-clausthal.de/Welcome.php.en;16133.0;279280.0;Clausthal University of Technology
Sana'a University;https://openalex.org/I170535673;YE;education;https://su.edu.ye;5209.0;77873.0;Sana'a University
University of Aberdeen;https://openalex.org/I195460627;GB;education;https://www.abdn.ac.uk;81518.0;2933569.0;University of Aberdeen
Johns Hopkins University;https://openalex.org/I145311948;US;education;https://www.jhu.edu/;422212.0;20845382.0;Johns Hopkins University
Sage Bionetworks;https://openalex.org/I1323236076;US;nonprofit;https://sagebionetworks.org;902.0;91946.0;Sage Bionetworks
Università degli Studi di Trieste;https://openalex.org/I142444530;IT;education;https://units.it;49440.0;1488452.0;University of Trieste
Fondazione IRCCS Ca' Granda - Ospedale Maggiore Policlinico;https://openalex.org/I2803066834;IT;healthcare;http://www.policlinico.mi.it/;35077.0;912836.0;Fondazione IRCCS Ca' Granda - Ospedale Maggiore Policlinico
Technical University of Darmstadt;https://openalex.org/I31512782;DE;education;http://www.tu-darmstadt.de/;67094.0;1416016.0;Technical University of Darmstadt